SA,SAC,cnt,SA_rank,SAC_rank
03_M160B,03_M160B_1,405,45,577
03_M160B,03_M160B_5,405,45,1026
21_M160C,21_M160C_4,225,46,64
21_M160C,21_M160C_8,225,46,346
21_M160C,21_M160C_1,225,46,760
18_M160B,18_M160B_8,405,47,18
18_M160B,18_M160B_7,405,47,90
18_M160B,18_M160B_4,405,47,221
09_M170A,09_M170A_8,360,48,87
09_M170A,09_M170A_1,328,48,244
09_M170A,09_M170A_2,360,48,246
25_M170B,25_M170B_6,420,49,119
25_M170B,25_M170B_2,420,49,320
25_M170B,25_M170B_8,358,49,492
10_M160B,10_M160B_6,360,50,51
10_M160B,10_M160B_4,360,50,222
10_M160B,10_M160B_3,360,50,1498
65_M180B,65_M180B_4,268,51,72
65_M180B,65_M180B_6,360,51,85
65_M180B,65_M180B_7,268,51,584
20_M180D,20_M180D_4,405,52,89
20_M180D,20_M180D_5,375,52,150
20_M180D,20_M180D_8,405,52,485
39_M180A,39_M180A_2,180,53,54
39_M180A,39_M180A_4,180,53,278
39_M180A,39_M180A_3,180,53,298
39_F170A,39_F170A_7,298,55,147
39_F170A,39_F170A_6,328,55,201
39_F170A,39_F170A_8,328,55,392
21_F150A,21_F150A_6,569,56,92
21_F150A,21_F150A_4,569,56,139
21_F150A,21_F150A_8,569,56,374
61_M170D,61_M170D_6,660,57,67
61_M170D,61_M170D_8,660,57,325
61_M170D,61_M170D_1,660,57,913
26_F150A,26_F150A_8,900,58,7
26_F150A,26_F150A_2,900,58,389
26_F150A,26_F150A_4,870,58,2973
57_F170D,57_F170D_5,238,59,142
57_F170D,57_F170D_6,238,59,157
57_F170D,57_F170D_2,238,59,235
13_M160C,13_M160C_8,360,60,47
13_M160C,13_M160C_2,360,60,112
13_M160C,13_M160C_5,360,60,249
61_M160C,61_M160C_2,405,62,125
61_M160C,61_M160C_6,405,62,229
61_M160C,61_M160C_5,358,62,347
02_F170B,02_F170B_5,390,64,31
02_F170B,02_F170B_1,390,64,159
02_F170B,02_F170B_2,390,64,816
20_M160B,20_M160B_6,405,65,19
20_M160B,20_M160B_2,405,65,408
20_M160B,20_M160B_3,405,65,2526
07_F170A,07_F170A_2,405,66,166
07_F170A,07_F170A_6,405,66,441
07_F170A,07_F170A_3,405,66,472
70_F160D,70_F160D_3,1020,67,61
70_F160D,70_F160D_5,1018,67,152
70_F160D,70_F160D_6,1018,67,182
66_F160C,66_F160C_3,960,68,181
66_F160C,66_F160C_5,960,68,236
66_F160C,66_F160C_1,960,68,900
17_F170B,17_F170B_6,375,69,49
17_F170B,17_F170B_2,375,69,718
17_F170B,17_F170B_4,375,69,1143
28_F150D,28_F150D_4,569,70,215
28_F150D,28_F150D_8,569,70,228
28_F150D,28_F150D_6,569,70,484
32_M160D,32_M160D_6,375,71,188
32_M160D,32_M160D_2,375,71,270
32_M160D,32_M160D_8,375,71,423
23_M160D,23_M160D_3,240,72,33
23_M160D,23_M160D_7,240,72,50
23_M160D,23_M160D_1,240,72,682
29_M170B,29_M170B_5,328,73,132
29_M170B,29_M170B_6,420,73,219
29_M170B,29_M170B_4,328,73,319
61_M170B,61_M170B_6,435,74,187
61_M170B,61_M170B_3,420,74,321
61_M170B,61_M170B_7,420,74,510
32_M180D,32_M180D_4,345,75,69
32_M180D,32_M180D_5,345,75,288
32_M180D,32_M180D_7,375,75,563
31_F150C,31_F150C_6,900,76,218
31_F150C,31_F150C_7,900,76,311
31_F150C,31_F150C_5,900,76,805
68_F150C,68_F150C_4,1110,78,76
68_F150C,68_F150C_3,1080,78,615
68_F150C,68_F150C_8,1080,78,1191
57_M160B,57_M160B_7,328,79,82
57_M160B,57_M160B_4,375,79,134
57_M160B,57_M160B_6,375,79,287
04_M180D,04_M180D_6,435,80,305
04_M180D,04_M180D_2,435,80,343
04_M180D,04_M180D_7,435,80,564
53_M160C,53_M160C_8,435,81,269
53_M160C,53_M160C_6,435,81,348
53_M160C,53_M160C_1,435,81,463
52_M170D,52_M170D_4,525,82,199
52_M170D,52_M170D_2,555,82,202
52_M170D,52_M170D_8,555,82,1403
05_M160B,05_M160B_6,390,83,122
05_M160B,05_M160B_7,390,83,401
05_M160B,05_M160B_5,390,83,1134
39_M170D,39_M170D_2,660,84,176
39_M170D,39_M170D_8,660,84,575
39_M170D,39_M170D_3,660,84,585
29_F170A,29_F170A_6,390,86,190
29_F170A,29_F170A_5,450,86,213
29_F170A,29_F170A_7,390,86,338
42_M160D,42_M160D_8,255,87,180
42_M160D,42_M160D_6,405,87,267
42_M160D,42_M160D_1,405,87,628
07_M180B,07_M180B_2,390,88,205
07_M180B,07_M180B_6,390,88,470
07_M180B,07_M180B_7,390,88,751
69_F170A,69_F170A_7,390,89,129
69_F170A,69_F170A_2,390,89,240
69_F170A,69_F170A_3,390,89,391
39_F150A,39_F150A_2,418,90,95
39_F150A,39_F150A_3,418,90,203
39_F150A,39_F150A_8,418,90,266
20_F170A,20_F170A_5,360,91,128
20_F170A,20_F170A_7,360,91,310
20_F170A,20_F170A_4,360,91,312
20_F170B,20_F170B_1,390,93,281
20_F170B,20_F170B_4,390,93,339
20_F170B,20_F170B_8,390,93,868
11_F160D,11_F160D_3,900,94,384
11_F160D,11_F160D_5,900,94,385
11_F160D,11_F160D_7,900,94,542
58_F170A,58_F170A_6,390,95,173
58_F170A,58_F170A_5,390,95,294
58_F170A,58_F170A_1,270,95,594
60_M180B,60_M180B_6,405,98,113
60_M180B,60_M180B_7,405,98,838
60_M180B,60_M180B_3,405,98,912
03_F170B,03_F170B_5,405,99,86
03_F170B,03_F170B_4,388,99,232
03_F170B,03_F170B_1,405,99,260
29_F150B,29_F150B_2,298,100,195
29_F150B,29_F150B_6,298,100,634
29_F150B,29_F150B_8,298,100,777
67_F170A,67_F170A_2,390,102,309
67_F170A,67_F170A_7,268,102,329
67_F170A,67_F170A_4,268,102,509
30_F170D,30_F170D_5,225,103,242
30_F170D,30_F170D_4,225,103,582
30_F170D,30_F170D_8,225,103,747
20_F160B,20_F160B_2,779,104,135
20_F160B,20_F160B_1,930,104,711
20_F160B,20_F160B_8,930,104,869
48_F170A,48_F170A_6,390,106,146
48_F170A,48_F170A_2,390,106,151
48_F170A,48_F170A_4,390,106,442
04_M180B,04_M180B_4,390,108,193
04_M180B,04_M180B_7,390,108,556
04_M180B,04_M180B_3,390,108,1100
30_M170B,30_M170B_5,435,109,167
30_M170B,30_M170B_8,435,109,271
30_M170B,30_M170B_4,435,109,359
59_M160D,59_M160D_4,328,111,4
59_M160D,59_M160D_6,328,111,514
59_M160D,59_M160D_2,360,111,592
23_F150C,23_F150C_2,870,112,123
23_F150C,23_F150C_1,870,112,689
23_F150C,23_F150C_8,870,112,1452
07_M170D,07_M170D_2,480,113,216
07_M170D,07_M170D_5,480,113,611
07_M170D,07_M170D_6,480,113,727
27_M160B,27_M160B_4,405,114,196
27_M160B,27_M160B_3,405,114,715
27_M160B,27_M160B_2,405,114,987
25_F170C,25_F170C_4,298,115,194
25_F170C,25_F170C_1,418,115,593
25_F170C,25_F170C_7,298,115,622
16_M180B,16_M180B_3,120,116,99
16_M180B,16_M180B_2,120,116,513
16_M180B,16_M180B_5,120,116,534
06_M170D,06_M170D_4,480,119,474
06_M170D,06_M170D_8,480,119,480
06_M170D,06_M170D_6,495,119,538
30_M180D,30_M180D_5,435,120,460
30_M180D,30_M180D_4,435,120,576
30_M180D,30_M180D_3,435,120,621
35_F150B,35_F150B_5,330,121,121
35_F150B,35_F150B_6,330,121,179
35_F150B,35_F150B_4,330,121,517
29_F170B,29_F170B_5,375,123,328
29_F170B,29_F170B_6,375,123,541
29_F170B,29_F170B_1,375,123,1021
07_M170B,07_M170B_4,420,124,355
07_M170B,07_M170B_6,420,124,410
07_M170B,07_M170B_7,420,124,1264
70_M180B,70_M180B_5,405,126,80
70_M180B,70_M180B_1,405,126,529
70_M180B,70_M180B_3,405,126,568
56_M180A,56_M180A_8,210,127,104
56_M180A,56_M180A_4,210,127,1101
56_M180A,56_M180A_3,210,127,1560
62_F170A,62_F170A_6,375,128,162
62_F170A,62_F170A_5,268,128,177
62_F170A,62_F170A_1,375,128,566
30_M160B,30_M160B_4,358,129,186
30_M160B,30_M160B_8,390,129,275
30_M160B,30_M160B_3,390,129,975
